record,запись,рекорд,records,,В EPICS record обычно означает запись базы данных процесса.,
run,запуск,выполнение,run|runs|running|ran,,,
information,информация,сведения,information,,,
management,управление,администрирование,management,,,
update,обновление,актуализация,update|updates|updated|updating,,,
parameter,параметр,настройка,parameters,,,
specific,конкретный,специальный,specific,,,
change,изменение,смена,changes,,changed,
service,служба,сервис,services,,,
example,пример,образец,examples,,,
database,база данных,хранилище,databases,,,
port,порт,разъем,ports,,,
measurement,измерение,замер,measurements,,,
operator,оператор,пользователь,operators,,,
failure,отказ,сбой,failures,,,
spectroscopy,спектроскопия,спектральная диагностика,spectroscopy,,,
light,свет,излучение,light,,,
number,номер,число,numbers,,,
image,изображение,кадр,images,,,
communication,связь,коммуникация,communications,,,
machine,машина,установка,machines,,,
configure,настроить,сконфигурировать,configure|configures|configured|configuring,,,
tcn,TCN,сеть передачи времени,tcn,,,
current,текущий,нынешний,current,,,
input,вход,ввод,inputs,,,
relative,относительный,сравнительный,relative,,,
board,плата,печатная плата,boards,,,
path,путь,маршрут,paths,,,
procedure,процедура,порядок действий,procedures,,,
disk,диск,накопитель,disks,,,
instruction,инструкция,указание,instructions,,,
opi,OPI,операторский интерфейс,opi,,,
optical,оптический,световой,optical,,,
need,нужно,требоваться,needs,,needed,
mirror,зеркало,зеркальная система,mirrors,,,
existing,существующий,имеющийся,existing,,,
camera,камера,видеокамера,cameras,,,
provide,обеспечивать,предоставлять,provide|provides|provided|providing,,,
idm,IDM,система управления документами,idm,,,
archive,архив,архивирование,archives,,archiving,
digital,цифровой,дискретный,digital,,,
remote,удаленный,дистанционный,remote,,,
cleaning,очистка,очищение,cleaning,,clean,
additional,дополнительный,добавочный,additional,,,
distribution,дистрибутив,распространение,distribution,,,
log,журнал,лог,logs,,logging,
guide,руководство,гид,guides,,,
pv,PV,процессная переменная,pvs,,,
connected,подключенный,соединенный,connect,,connection,
detail,деталь,подробность,details,,,
resolution,разрешение,точность отображения,resolutions,,,
error,ошибка,сбой,errors,,,
code,код,программный код,codes,,,
implementation,реализация,внедрение,implementations,,,
physical,физический,аппаратный,physical,,,
documentation,документация,описание,documentation,,,
resource,ресурс,источник,resources,,,
architecture,архитектура,структура,architecture,,,
create,создать,сформировать,create|creates|created|creating,,,
build,сборка,построение,builds,,building,
host,хост,узел,hosts,,,
performance,производительность,характеристики,performance,,,
linux,Linux,операционная система Linux,linux,,,
profile,профиль,конфигурация,profiles,,,
labview,LabVIEW,среда LabVIEW,labview,,,
external,внешний,наружный,external,,,
driver,драйвер,модуль драйвера,drivers,,,
user,пользователь,оператор,users,,,
manual,руководство,инструкция,manual,,,
application,приложение,прикладная программа,applications,,,
core,ядро,основной модуль,core,,,
overview,обзор,краткое описание,overview,,,
rule,правило,требование,rules,,,
handbook,справочник,руководство,handbooks,,,
guideline,рекомендация,руководство,guidelines,,,
review,проверка,рецензирование,reviews,,reviewed,
approval,утверждение,согласование,approval,,approved,
author,автор,разработчик,authors,,,
coauthor,соавтор,участник,coauthors,,,
version,версия,редакция,versions,,,
created,созданный,сформированный,create,,creates,
status,статус,состояние,statuses,,,
security,безопасность,защита,security,,,
read,читать,считывать,read|reads|reading,,,
minor,незначительный,малый,minor,,,
major,крупный,основной,major,,,
include,включать,содержать,includes,,included,
comment,комментарий,замечание,comments,,,
section,раздел,секция,sections,,,
migration,миграция,перенос,migration,,,
verification,проверка,верификация,verification,,,
proxy,прокси,промежуточный сервер,proxy,,,
workflow,рабочий процесс,последовательность действий,workflow,,,
naming,именование,схема именования,naming,,,
convention,соглашение,конвенция,conventions,,,
step,шаг,этап,steps,,,
activation,активация,включение,activation,,,
restart,перезапуск,повторный запуск,restart,,,
start,запустить,начать,start|starts|starting|started,,,
stop,остановить,прекратить,stop|stops|stopping|stopped,,,
compile,скомпилировать,собрать,compile|compiles|compiled|compiling,,,
packaging,упаковка,подготовка пакета,packaging,,,
authentication,аутентификация,проверка подлинности,authentication,,,
validation,проверка,валидация,validation,,,
dependency,зависимость,внешняя библиотека,dependencies,,,
branch,ветка,ответвление,branches,,,
tag,тег,метка,tags,,,
plugin,плагин,модуль расширения,plugins,,,
translation,перевод,трансляция,translation,,,
document,документ,файл документа,documents,,,
pdf,PDF,формат PDF,pdf,,,
page,страница,лист,pages,,,
word,слово,термин,words,,,
click,щелчок,клик,click|clicks|clicked|clicking,,,
select,выбрать,выделить,select|selects|selected|selection|selecting,,,
highlight,подсветить,выделить,highlight,,highlighted,
window,окно,панель,windows,,,
panel,панель,область,panels,,,
search,поиск,искать,search|searches|searched|searching,,,
next,следующий,далее,next,,,
previous,предыдущий,назад,previous,,,
open,открыть,развернуть,open|opens|opened|opening,,,
close,закрыть,завершить,close|closes|closed|closing,,,
scroll,прокрутка,скролл,scroll,,scrolling,
zoom,масштаб,увеличение,zoom,,,
cache,кэш,буфер,cache,,cached,
context,контекст,окружение,context,,,
sentence,предложение,фраза,sentences,,,
lookup,поиск в словаре,словарный поиск,lookup,,,
entry,запись,словарная статья,entries,,,
headword,заголовочное слово,основная форма,headword,,,
transcription,транскрипция,произношение,transcription,,,
alternative,альтернатива,дополнительный вариант,alternatives,,,
starter,стартовый,начальный,starter,,,
import,импорт,загрузка,import,,imported,
csv,CSV,табличный CSV-файл,csv,,,
sqlite,SQLite,база SQLite,sqlite,,,
provider,поставщик,провайдер,providers,,,
session,сессия,сеанс,sessions,,,
render,рендерить,отрисовывать,rendered,,rendering,
token,токен,слово-токен,tokens,,,
rect,прямоугольник,область,rect,,,
form,форма,словоформа,forms,,,
normalization,нормализация,приведение к форме,normalization,,,
fallback,резервный вариант,запасной путь,fallback,,,
smoke,дымовой,быстрый,smoke,,Для тестов означает быструю smoke-проверку.,
pytest,pytest,система тестирования pytest,pytest,,,
report,отчет,сводка,reports,,,
known,известный,ранее определенный,known,,,
limitation,ограничение,недостаток,limitations,,,
future,будущий,перспективный,future,,,
roadmap,дорожная карта,план развития,roadmap,,,
clock,часы,тактовый сигнал,clock,,,
synchronization,синхронизация,согласование,synchronization,,,
throughput,пропускная способность,скорость передачи,throughput,,,
latency,задержка,латентность,latency,,,
availability,доступность,готовность,availability,,,
reliability,надежность,стабильность,reliability,,,
recoverability,восстанавливаемость,способность к восстановлению,recoverability,,,
stability,стабильность,устойчивость,stability,,,
authorization,авторизация,разрешение доступа,authorization,,,
deviation,отклонение,отступление,deviation,,,
procurement,закупка,поставка,procurement,,,
environment,окружение,среда,environment,,,
risk,риск,опасность,risks,,,
issue,вопрос,проблема,issues,,,
spectrometer,спектрометр,спектральный прибор,spectrometers,,,
polychromator,полихроматор,полихроматор,polychromators,,,
hexapod,гексапод,шестикоординатный привод,hexapods,,,
clean,чистый,очищать,clean|cleans|cleaned|cleaning,,,
routine,штатный,регламентный,routine,,,
health,состояние,здоровье системы,health,,,
monitor,контролировать,наблюдать,monitor|monitors|monitored|monitoring,,,
role,роль,назначение,roles,,,
common,общий,типовой,common,,,
operational,эксплуатационный,операционный,operational,,,
request,запрос,требование,requests,,,
mode,режим,способ работы,modes,,,
global,глобальный,общесистемный,global,,,
slow,медленный,низкоскоростной,slow,,,
analog,аналоговый,непрерывный,analog,,,
waveform,форма сигнала,волновая форма,waveforms,,,
sampling,дискретизация,сэмплирование,sampling,,,
rate,частота,скорость,rates,,,
interrupt,прерывание,сигнал прерывания,interrupts,,,
scan,сканирование,опрос,scan,,scans,
timestamp,временная метка,таймстамп,timestamp,,,
serial,серийный,последовательный,serial,,,
connection,соединение,подключение,connections,,,
logic,логика,логический блок,logic,,,
memory,память,запоминающее устройство,memory,,,
clocking,тактирование,синхронизация часов,clocking,,,
bank,банк,группа,banks,,,
family,семейство,линейка,families,,,
feature,функция,возможность,features,,,
purpose,назначение,цель,purposes,,,
scope,область применения,охват,scope,,,
assumption,предположение,допущение,assumptions,,,
reference,ссылка,справочный документ,references,,,
acronym,сокращение,аббревиатура,acronyms,,,
brief,краткий,сжатый,brief,,,
overall,общий,сводный,overall,,,
compatibility,совместимость,сочетаемость,compatibility,,,
compatibile,совместимый,подходящий,compatible,,,
recommended,рекомендуемый,предпочтительный,recommended,,,
verify,проверить,удостовериться,verify,,verified,
correct,правильный,корректный,correct,,,
troubleshooting,устранение неисправностей,диагностика проблем,troubleshooting,,,
uninstall,удалить,деинсталлировать,uninstall,,uninstalling,
load,загрузить,подгрузить,loads,,loaded,
save,сохранить,записать,saved,,saving,
location,расположение,место,locations,,,
history,история,журнал изменений,history,,,
message,сообщение,уведомление,messages,,,
retrieving,извлечение,получение,retrieve,,retrieved,
plot,график,диаграмма,plots,,,
browser,браузер,просмотрщик,browser,,,
viewer,просмотрщик,viewer,viewers,,,
copy,копировать,скопировать,copy|copies|copied|copying,,,
clipboard,буфер обмена,clipboard,clipboard,,,
hello,привет,здравствуйте,hello,,,
world,мир,окружающий мир,world,,,
be,быть,являться|находиться,be|is|are|was|were|been|being,,"Базовый глагол, часто опускается при переводе на русский.",
