headword,best_translation,alternatives,forms,examples,notes,transcription
DAN,dan,,DAN,,,
архив данных диагностики,dan,,архив данных диагностики,,,
доступ,access,,доступ,,,
подключение,access,connections,подключение,,,
установить,install,installs|installed|installing|installation,установить,,,
инсталлировать,install,installs|installed|installing|installation,инсталлировать,,,
тест,test,tests,тест,,,
испытание,test,tests,испытание,,,
по умолчанию,default,,по умолчанию,,,
стандартный,default,,стандартный,,,
источник,source,sources|resources,источник,,,
исходный код,source,sources,исходный код,,,
редактор,editor,editors,редактор,,,
редактор данных,editor,editors,редактор данных,,,
диагностика,diagnostic,diagnostics,диагностика,режим диагностики=>diagnostic mode,,
диагностический модуль,diagnostic,diagnostics,диагностический модуль,,,
Maven,maven,,Maven,,,
система сборки Maven,maven,,система сборки Maven,,,
стандарт,standard,standards,стандарт,,,
норма,standard,standards,норма,,,
обслуживание,maintenance,,обслуживание,,,
шкаф,cubicle,cubicles,шкаф,шкаф КИПиА=>I&C cubicle,,
кубикл,cubicle,cubicles,кубикл,шкаф КИПиА=>I&C cubicle,,
релиз,release,releases,релиз,,,
выпуск,release,releases,выпуск,,,
высокий,high,,высокий,,,
повышенный,high,,повышенный,,,
доступный,available,supported|support|visible,доступный,,,
имеющийся,available,existing,имеющийся,,,
процесс,process,processes|processed|processing,процесс,,,
обработка,process,processes|processed|processing,обработка,,,
выход,output,outputs,выход,,,
вывод,output,outputs,вывод,,,
мониторинг,monitoring,monitor,мониторинг,,,
наблюдение,monitoring,monitor,наблюдение,,,
центральный,central,,центральный,,,
основной,central,major,основной,,,
случай,case,cases,случай,,,
вариант,case,cases,вариант,,,
компонент,component,components,компонент,,,
элемент,component,components,элемент,,,
цель,target,targets|purposes,цель,,,
целевой узел,target,targets,целевой узел,,,
локальный,local,,локальный,,,
местный,local,,местный,,,
пример,sample,samples|examples,пример,,,
образец,sample,samples|examples,образец,,,
FPGA,fpga,,FPGA,,,
программируемая логическая матрица,fpga,,программируемая логическая матрица,,,
программа,program,programs,программа,,,
полный,full,,полный,,,
полноразмерный,full,,полноразмерный,,,
термоядерный синтез,fusion,,термоядерный синтез,,,
fusion,fusion,,fusion,,,
RIO,rio,,RIO,,,
реконфигурируемый ввод-вывод,rio,,реконфигурируемый ввод-вывод,,,
рабочий,operating,operate|functional,рабочий,,,
операционный,operating,operate|operational,операционный,,,
функциональный,functional,,функциональный,,,
затвор,shutter,shutters,затвор,,,
шторка,shutter,shutters,шторка,,,
центр,centre,,центр,,,
центр управления,centre,,центр управления,,,
сбор данных,acquisition,acquisitions,сбор данных,,,
прием данных,acquisition,acquisitions,прием данных,,,
интеграция,integration,integrations,интеграция,,,
объединение,integration,integrations,объединение,,,
узел,module,modules|hosts,узел,,,
PSH,psh,,PSH,,,
Plant System Host,psh,,Plant System Host,,,
PLC,plc,,PLC,,,
программируемый логический контроллер,plc,,программируемый логический контроллер,,,
сервер,server,servers,сервер,,,
служба,server,servers|services,служба,,,
запись,record,records|entries,запись,,,
рекорд,record,records,рекорд,,,
запуск,run,runs|running|ran,запуск,,,
выполнение,run,runs|running|ran,выполнение,,,
информация,information,,информация,,,
сведения,information,,сведения,,,
администрирование,management,,администрирование,,,
обновление,update,updates|updated|updating,обновление,,,
актуализация,update,updates|updated|updating,актуализация,,,
конкретный,specific,,конкретный,,,
специальный,specific,,специальный,,,
изменение,change,changes,изменение,,,
смена,change,changes,смена,,,
сервис,service,services,сервис,,,
база данных,database,databases,база данных,,,
хранилище,database,databases,хранилище,,,
порт,port,ports,порт,,,
разъем,port,ports,разъем,,,
измерение,measurement,measurements,измерение,данные измерений=>measurement data,,
замер,measurement,measurements,замер,данные измерений=>measurement data,,
отказ,failure,failures,отказ,,,
сбой,failure,failures|errors,сбой,,,
спектроскопия,spectroscopy,,спектроскопия,,,
спектральная диагностика,spectroscopy,,спектральная диагностика,,,
свет,light,,свет,,,
излучение,light,,излучение,,,
номер,number,numbers,номер,,,
число,number,numbers,число,,,
изображение,image,images,изображение,,,
кадр,image,images,кадр,,,
коммуникация,communication,communications,коммуникация,,,
машина,machine,machines,машина,,,
настроить,configure,configures|configured|configuring,настроить,,,
сконфигурировать,configure,configures|configured|configuring,сконфигурировать,,,
TCN,tcn,,TCN,,,
сеть передачи времени,tcn,,сеть передачи времени,,,
текущий,current,,текущий,,,
нынешний,current,,нынешний,,,
вход,input,inputs,вход,,,
ввод,input,inputs,ввод,,,
относительный,relative,,относительный,,,
сравнительный,relative,,сравнительный,,,
плата,board,boards,плата,,,
печатная плата,board,boards,печатная плата,,,
путь,path,paths,путь,,,
маршрут,path,paths,маршрут,,,
процедура,procedure,procedures,процедура,,,
порядок действий,procedure,procedures,порядок действий,,,
диск,disk,disks,диск,,,
накопитель,disk,disks,накопитель,,,
инструкция,instruction,instructions|manual,инструкция,,,
указание,instruction,instructions,указание,,,
OPI,opi,,OPI,,,
операторский интерфейс,opi,,операторский интерфейс,,,
оптический,optical,,оптический,,,
световой,optical,,световой,,,
нужно,need,needs,нужно,,,
требоваться,need,needs,требоваться,,,
зеркало,mirror,mirrors,зеркало,,,
зеркальная система,mirror,mirrors,зеркальная система,,,
существующий,existing,,существующий,,,
камера,camera,cameras,камера,,,
видеокамера,camera,cameras,видеокамера,,,
обеспечивать,provide,provides|provided|providing,обеспечивать,,,
предоставлять,provide,provides|provided|providing,предоставлять,,,
IDM,idm,,IDM,,,
система управления документами,idm,,система управления документами,,,
архив,archive,archives,архив,,,
архивирование,archive,archives,архивирование,,,
цифровой,digital,,цифровой,,,
дискретный,digital,,дискретный,,,
удаленный,remote,,удаленный,,,
дистанционный,remote,,дистанционный,,,
очистка,cleaning,,очистка,,,
очищение,cleaning,,очищение,,,
добавочный,additional,,добавочный,,,
дистрибутив,distribution,,дистрибутив,,,
распространение,distribution,,распространение,,,
журнал,log,logs,журнал,,,
лог,log,logs,лог,,,
руководство,guide,guides|manual|handbooks|guidelines,руководство,,,
гид,guide,guides,гид,,,
PV,pv,pvs,PV,,,
процессная переменная,pv,pvs,процессная переменная,,,
подключенный,connected,connect,подключенный,,,
соединенный,connected,connect,соединенный,,,
деталь,detail,details,деталь,,,
подробность,detail,details,подробность,,,
разрешение,resolution,resolutions,разрешение,,,
точность отображения,resolution,resolutions,точность отображения,,,
ошибка,error,errors,ошибка,,,
код,code,codes,код,,,
программный код,code,codes,программный код,,,
реализация,implementation,implementations,реализация,,,
внедрение,implementation,implementations,внедрение,,,
физический,physical,,физический,,,
аппаратный,physical,,аппаратный,,,
документация,documentation,,документация,,,
ресурс,resource,resources,ресурс,,,
архитектура,architecture,,архитектура,,,
структура,architecture,,структура,,,
создать,create,creates|created|creating,создать,,,
сформировать,create,creates|created|creating,сформировать,,,
построение,build,builds,построение,,,
хост,host,hosts,хост,,,
производительность,performance,throughput,производительность,пропускная способность сети=>network throughput,,
характеристики,performance,,характеристики,,,
Linux,linux,,Linux,,,
операционная система Linux,linux,,операционная система Linux,,,
профиль,profile,profiles,профиль,,,
LabVIEW,labview,,LabVIEW,,,
среда LabVIEW,labview,,среда LabVIEW,,,
внешний,external,,внешний,,,
наружный,external,,наружный,,,
драйвер,driver,drivers,драйвер,,,
модуль драйвера,driver,drivers,модуль драйвера,,,
приложение,application,applications,приложение,,,
прикладная программа,application,applications,прикладная программа,,,
ядро,core,,ядро,,,
основной модуль,core,,основной модуль,,,
обзор,overview,,обзор,,,
краткое описание,overview,,краткое описание,,,
правило,rule,rules,правило,,,
справочник,handbook,handbooks,справочник,,,
рекомендация,guideline,guidelines,рекомендация,,,
проверка,review,reviews|verification|validation,проверка,,,
рецензирование,review,reviews,рецензирование,,,
утверждение,approval,,утверждение,,,
согласование,approval,synchronization,согласование,,,
автор,author,authors,автор,,,
разработчик,author,authors,разработчик,,,
соавтор,coauthor,coauthors,соавтор,,,
участник,coauthor,coauthors,участник,,,
версия,version,versions,версия,,,
редакция,version,versions,редакция,,,
созданный,created,create,созданный,,,
сформированный,created,create,сформированный,,,
статус,status,statuses,статус,,,
читать,read,reads|reading,читать,,,
считывать,read,reads|reading,считывать,,,
незначительный,minor,,незначительный,,,
малый,minor,,малый,,,
крупный,major,,крупный,,,
включать,include,includes|included|add|adds|added,включать,,,
содержать,include,includes|included,содержать,,,
комментарий,comment,comments,комментарий,,,
замечание,comment,comments,замечание,,,
раздел,section,sections,раздел,,,
секция,section,sections,секция,,,
миграция,migration,,миграция,,,
перенос,migration,,перенос,,,
верификация,verification,,верификация,,,
прокси,proxy,,прокси,,,
промежуточный сервер,proxy,,промежуточный сервер,,,
рабочий процесс,workflow,,рабочий процесс,,,
последовательность действий,workflow,,последовательность действий,,,
именование,naming,,именование,,,
схема именования,naming,,схема именования,,,
соглашение,convention,conventions,соглашение,,,
конвенция,convention,conventions,конвенция,,,
шаг,step,steps,шаг,,,
этап,step,steps,этап,,,
активация,activation,,активация,,,
включение,activation,,включение,,,
перезапуск,restart,,перезапуск,,,
повторный запуск,restart,,повторный запуск,,,
запустить,start,starts|starting|started,запустить,,,
начать,start,starts|starting|started,начать,,,
остановить,stop,stops|stopping|stopped,остановить,,,
прекратить,stop,stops|stopping|stopped,прекратить,,,
скомпилировать,compile,compiles|compiled|compiling,скомпилировать,,,
собрать,compile,compiles|compiled|compiling,собрать,,,
упаковка,packaging,,упаковка,,,
подготовка пакета,packaging,,подготовка пакета,,,
аутентификация,authentication,,аутентификация,,,
проверка подлинности,authentication,,проверка подлинности,,,
валидация,validation,,валидация,,,
зависимость,dependency,dependencies,зависимость,,,
внешняя библиотека,dependency,dependencies,внешняя библиотека,,,
ветка,branch,branches,ветка,,,
ответвление,branch,branches,ответвление,,,
тег,tag,tags,тег,,,
метка,tag,tags,метка,,,
плагин,plugin,plugins,плагин,,,
модуль расширения,plugin,plugins,модуль расширения,,,
перевод,translation,,перевод,,,
трансляция,translation,,трансляция,,,
файл документа,document,documents,файл документа,,,
PDF,pdf,,PDF,,,
формат PDF,pdf,,формат PDF,,,
страница,page,pages,страница,,,
лист,page,pages,лист,,,
слово,word,words,слово,,,
термин,word,words,термин,,,
щелчок,click,clicks|clicked|clicking,щелчок,,,
клик,click,clicks|clicked|clicking,клик,,,
выбрать,select,selects|selected|selection|selecting,выбрать,,,
выделить,select,selects|selected|selection|selecting|highlight,выделить,,,
подсветить,highlight,,подсветить,,,
окно,window,windows,окно,,,
панель,window,windows|panels,панель,,,
область,panel,panels|rect,область,,,
поиск,search,searches|searched|searching,поиск,,,
искать,search,searches|searched|searching,искать,,,
далее,next,,далее,,,
предыдущий,previous,,предыдущий,,,
назад,previous,,назад,,,
открыть,open,opens|opened|opening,открыть,,,
развернуть,open,opens|opened|opening,развернуть,,,
закрыть,close,closes|closed|closing,закрыть,,,
завершить,close,closes|closed|closing,завершить,,,
прокрутка,scroll,,прокрутка,,,
скролл,scroll,,скролл,,,
масштаб,zoom,,масштаб,,,
увеличение,zoom,,увеличение,,,
кэш,cache,,кэш,,,
буфер,cache,,буфер,,,
контекст,context,,контекст,,,
окружение,context,environment,окружение,,,
предложение,sentence,sentences,предложение,,,
фраза,sentence,sentences,фраза,,,
поиск в словаре,lookup,,поиск в словаре,,,
словарный поиск,lookup,,словарный поиск,,,
словарная статья,entry,entries,словарная статья,,,
заголовочное слово,headword,,заголовочное слово,,,
основная форма,headword,,основная форма,,,
транскрипция,transcription,,транскрипция,,,
произношение,transcription,,произношение,,,
альтернатива,alternative,alternatives,альтернатива,,,
дополнительный вариант,alternative,alternatives,дополнительный вариант,,,
стартовый,starter,,стартовый,,,
начальный,starter,,начальный,,,
импорт,import,,импорт,,,
загрузка,import,,загрузка,,,
CSV,csv,,CSV,,,
табличный CSV-файл,csv,,табличный CSV-файл,,,
SQLite,sqlite,,SQLite,,,
база SQLite,sqlite,,база SQLite,,,
поставщик,provider,providers,поставщик,,,
провайдер,provider,providers,провайдер,,,
сессия,session,sessions,сессия,,,
сеанс,session,sessions,сеанс,,,
рендерить,render,rendered,рендерить,,,
отрисовывать,render,rendered,отрисовывать,,,
токен,token,tokens,токен,,,
слово-токен,token,tokens,слово-токен,,,
прямоугольник,rect,,прямоугольник,,,
форма,form,forms,форма,,,
словоформа,form,forms,словоформа,,,
нормализация,normalization,,нормализация,,,
приведение к форме,normalization,,приведение к форме,,,
резервный вариант,fallback,,резервный вариант,,,
запасной путь,fallback,,запасной путь,,,
дымовой,smoke,,дымовой,,,
pytest,pytest,,pytest,,,
система тестирования pytest,pytest,,система тестирования pytest,,,
отчет,report,reports,отчет,,,
сводка,report,reports,сводка,,,
известный,known,,известный,,,
ранее определенный,known,,ранее определенный,,,
ограничение,limitation,limitations,ограничение,,,
недостаток,limitation,limitations,недостаток,,,
будущий,future,,будущий,,,
перспективный,future,,перспективный,,,
дорожная карта,roadmap,,дорожная карта,,,
план развития,roadmap,,план развития,,,
часы,clock,,часы,,,
тактовый сигнал,clock,,тактовый сигнал,,,
синхронизация,synchronization,,синхронизация,,,
пропускная способность,throughput,,пропускная способность,пропускная способность сети=>network throughput,,
скорость передачи,throughput,,скорость передачи,,,
задержка,latency,,задержка,,,
латентность,latency,,латентность,,,
доступность,availability,,доступность,,,
готовность,availability,,готовность,,,
надежность,reliability,,надежность,,,
стабильность,reliability,stability,стабильность,,,
восстанавливаемость,recoverability,,восстанавливаемость,,,
способность к восстановлению,recoverability,,способность к восстановлению,,,
устойчивость,stability,,устойчивость,,,
авторизация,authorization,,авторизация,,,
разрешение доступа,authorization,,разрешение доступа,,,
отклонение,deviation,,отклонение,,,
отступление,deviation,,отступление,,,
закупка,procurement,,закупка,,,
поставка,procurement,,поставка,,,
среда,environment,,среда,,,
риск,risk,risks,риск,,,
опасность,risk,risks,опасность,,,
вопрос,issue,issues,вопрос,,,
проблема,issue,issues,проблема,,,
спектрометр,spectrometer,spectrometers,спектрометр,,,
спектральный прибор,spectrometer,spectrometers,спектральный прибор,,,
полихроматор,polychromator,polychromators,полихроматор,,,
гексапод,hexapod,hexapods,гексапод,,,
шестикоординатный привод,hexapod,hexapods,шестикоординатный привод,,,
чистый,clean,cleans|cleaned|cleaning,чистый,,,
очищать,clean,cleans|cleaned|cleaning,очищать,,,
штатный,routine,,штатный,,,
регламентный,routine,,регламентный,,,
здоровье системы,health,,здоровье системы,,,
контролировать,monitor,monitors|monitored|monitoring,контролировать,,,
наблюдать,monitor,monitors|monitored|monitoring,наблюдать,,,
роль,role,roles,роль,,,
общий,common,overall,общий,,,
типовой,common,,типовой,,,
эксплуатационный,operational,,эксплуатационный,,,
запрос,request,requests,запрос,,,
способ работы,mode,modes,способ работы,,,
глобальный,global,,глобальный,,,
общесистемный,global,,общесистемный,,,
медленный,slow,,медленный,,,
низкоскоростной,slow,,низкоскоростной,,,
аналоговый,analog,,аналоговый,,,
непрерывный,analog,,непрерывный,,,
форма сигнала,waveform,waveforms,форма сигнала,просмотр формы сигнала=>waveform viewer,,
волновая форма,waveform,waveforms,волновая форма,,,
дискретизация,sampling,sampled,дискретизация,частота дискретизации=>sampling frequency,,
сэмплирование,sampling,,сэмплирование,,,
частота,rate,rates,частота,,,
скорость,rate,rates,скорость,,,
прерывание,interrupt,interrupts,прерывание,,,
сигнал прерывания,interrupt,interrupts,сигнал прерывания,,,
сканирование,scan,,сканирование,,,
опрос,scan,,опрос,,,
временная метка,timestamp,,временная метка,,,
таймстамп,timestamp,,таймстамп,,,
серийный,serial,,серийный,,,
последовательный,serial,,последовательный,,,
соединение,connection,connections,соединение,,,
логика,logic,,логика,,,
логический блок,logic,,логический блок,,,
память,memory,,память,,,
запоминающее устройство,memory,,запоминающее устройство,,,
тактирование,clocking,,тактирование,,,
синхронизация часов,clocking,,синхронизация часов,,,
банк,bank,banks,банк,,,
группа,bank,banks,группа,,,
семейство,family,families,семейство,,,
линейка,family,families,линейка,,,
возможность,feature,features,возможность,,,
область применения,scope,,область применения,,,
охват,scope,,охват,,,
предположение,assumption,assumptions,предположение,,,
допущение,assumption,assumptions,допущение,,,
ссылка,reference,references,ссылка,,,
справочный документ,reference,references,справочный документ,,,
сокращение,acronym,acronyms,сокращение,,,
аббревиатура,acronym,acronyms,аббревиатура,,,
краткий,brief,,краткий,,,
сжатый,brief,,сжатый,,,
сводный,overall,,сводный,,,
совместимость,compatibility,,совместимость,,,
сочетаемость,compatibility,,сочетаемость,,,
совместимый,compatibile,compatible,совместимый,,,
подходящий,compatibile,compatible,подходящий,,,
рекомендуемый,recommended,,рекомендуемый,,,
предпочтительный,recommended,,предпочтительный,,,
проверить,verify,,проверить,,,
удостовериться,verify,,удостовериться,,,
правильный,correct,,правильный,,,
корректный,correct,,корректный,,,
устранение неисправностей,troubleshooting,,устранение неисправностей,,,
диагностика проблем,troubleshooting,,диагностика проблем,,,
удалить,uninstall,,удалить,,,
деинсталлировать,uninstall,,деинсталлировать,,,
загрузить,load,loads,загрузить,,,
подгрузить,load,loads,подгрузить,,,
сохранить,save,saved,сохранить,,,
записать,save,saved,записать,,,
расположение,location,locations,расположение,,,
место,location,locations,место,,,
история,history,,история,,,
журнал изменений,history,,журнал изменений,,,
сообщение,message,messages,сообщение,,,
уведомление,message,messages,уведомление,,,
извлечение,retrieving,retrieve,извлечение,,,
получение,retrieving,retrieve,получение,,,
график,plot,plots,график,,,
диаграмма,plot,plots,диаграмма,,,
браузер,browser,,браузер,,,
просмотрщик,browser,viewers,просмотрщик,,,
viewer,viewer,viewers,viewer,,,
копировать,copy,copies|copied|copying,копировать,,,
скопировать,copy,copies|copied|copying,скопировать,,,
буфер обмена,clipboard,,буфер обмена,,,
clipboard,clipboard,,clipboard,,,
привет,hello,,привет,,,
здравствуйте,hello,,здравствуйте,,,
мир,world,,мир,,,
окружающий мир,world,,окружающий мир,,,
быть,be,is|are|was|were|been|being,быть,,,
являться,be,is|are|was|were|been|being,являться,,,
находиться,be,is|are|was|were|been|being,находиться,,,
CODAC,codac,,CODAC,,,
система CODAC,codac,,система CODAC,,,
плазма,plasma,plasmas,плазма,,,
плазменный разряд,plasma,plasmas,плазменный разряд,,,
скрипт,script,scripts,скрипт,,,
сценарий,script,scripts,сценарий,,,
библиотека,library,libraries,библиотека,,,
работающий,running,run|runs,работающий,,,
запущенный,running,run|runs|executed|execute|executes,запущенный,,,
настроенный,configured,configure|configures,настроенный,,,
сконфигурированный,configured,configure|configures,сконфигурированный,,,
поддерживаемый,supported,support,поддерживаемый,,,
предоставленный,provided,provide|provides,предоставленный,,,
установленный,installed,install|deployed|deploy|deploys,установленный,,,
смонтированный,installed,install,смонтированный,,,
обновленный,updated,update|updates,обновленный,,,
актуализированный,updated,update|updates,актуализированный,,,
выполненный,executed,execute|executes,выполненный,,,
указанный,specified,specify|specifies,указанный,,,
изменения,changes,change,изменения,,,
правки,changes,change,правки,,,
диагностические средства,diagnostics,,диагностические средства,,,
CS-Studio,cs-studio,,CS-Studio,,,
Control System Studio,cs-studio,,Control System Studio,,,
сопряжение,interface,interfaces,сопряжение,,,
регистрация,record,records,регистрация,,,
представление,view,views,представление,,,
связанный,related,,связанный,,,
относящийся,related,,относящийся,,,
возможный,possible,,возможный,,,
допустимый,possible,,допустимый,,,
развернутый,deployed,deploy|deploys,развернутый,,,
видимый,visible,,видимый,,,
через,through,,через,,,
посредством,through,,посредством,,,
добавлять,add,adds|added,добавлять,,,
после,after,,после,,,
затем,after,,затем,,,
различный,different,,различный,,,
иной,different,,иной,,,
тот же,same,,тот же,,,
одинаковый,same,,одинаковый,,,
указывать,indicate,indicates,указывать,,,
обозначать,indicate,indicates,обозначать,,,
диагностический режим,diagnostic,diagnostics,диагностический режим,режим диагностики=>diagnostic mode,,
диагностический,diagnostic,diagnostics,диагностический,режим диагностики=>diagnostic mode,,
диагностика/измерение,diagnostic/measurement,diagnostic\measurement,диагностика/измерение,канал диагностики/измерений=>diagnostic/measurement channel,,
выборка,sampling,sampled,выборка,частота дискретизации=>sampling frequency,,
осциллограмма,waveform,waveforms,осциллограмма,просмотр формы сигнала=>waveform viewer,,
юстировка,calibration,calibrations,юстировка,план калибровки=>calibration plan,,
защита блокировкой,interlock,interlocks,защита блокировкой,защитная блокировка=>safety interlock,,
